days_since_rain,air_temp,humidity,sunlight_intensity,soil_moisture,nutrient_level,pH,rainfall_last_24h,watering_duration_last,,needs_watering
6,14.80937732411073,50.33495358612436,590.2092302604885,59.114928591252195,7.022962372,7.126313128,7.025337092929567,0.46826094342217084,,0
3,19.95956844541298,67.57969608852049,552.5568120911828,81.67812811,4.524979682639501,7.0074855725364165,3.219717114256383,0.43140749022494485,,0
10,15.646040394870722,22.187270715567287,842.9225558328333,24.260250581576166,7.742541239019072,6.881935530288093,1.6551669626325225,8.635922522,,1
7,23.24243257979346,42.35473661326853,668.2689715021293,51.60587816452748,6.016979118,6.500536322446578,6.066590275618907,4.892029191897714,,0
4,25.092091895947757,63.971323398109135,561.9118997480014,71.83872576418207,5.284306310437344,6.799164167,3.000990508209809,0.5977497567309301,,0
6,33.382186561376415,43.72855288415376,567.5704292683228,60.40025949133367,5.640981873087078,6.640072879,0,1.5654969670601389,,0
9,26.634636868820813,36.46778966083315,745.0161675996607,37.19898801414149,6.970703123271264,6.696780812988732,7.829021164,1.3184093021864256,,1
2,23.90449735595568,63.21709097688297,477.48976914791274,83.54429914713343,5.2986536497794745,6.687639754774924,2.7907066069885897,4.696321561,,0
6,29.147027905917447,52.33214991216763,771.0396545514988,49.991487062185996,5.100770772692667,6.506022327565327,3.076268152812628,2.1413535172045903,,1
10,13.944323454960575,29.821792588512583,744.4016487112918,30.45753513697141,5.734156082899514,6.212798423259803,4.468020008353381,0.4103806498707486,,1
10,26.178072790542828,21.924340920472453,873.2088619376219,20.077605757576972,4.587645464676038,6.599557086,0,4.029613388276246,,1
7,28.854325969434832,50.82369677228586,729.8429386732904,48.51934236913015,8.184652689530179,6.858013835577248,0,1.5169569762623771,,1
4,17.607068771100792,56.32704211600976,574.0318202245069,66.86373535472035,5.320326490542332,6.395546886371752,4.161211890324499,0.9151938219454628,,0
3,30.718770216034645,60.948737814928094,607.9310242097566,70.94285960398086,6.997940143416484,6.804704670941487,0,1.412405228660597,,0
7,26.69248203747207,46.00284598615472,698.6052736303432,55.81729439460248,6.2513641003773275,7.370080527,1.336281769396239,2.0660110313353544,,0
7,22.923560430495993,50.743186747143575,699.4579597833964,55.30755309132075,4.818559139421638,7.106916966575672,2.9351159929462174,1.260741300092961,,0
